Time, Roll1,Pitch1,Yaw1,Acc1x,Acc1y,Acc1z,Gyro1x,Gyro1y,Gyro1z,Q1w,Q1x,Q1y,Q1z, Roll2,Pitch2,Yaw2,Acc2x,Acc2y,Acc2z,Gyro2x,Gyro2y,Gyro2z,Q2w,Q2x,Q2y,Q2z, Roll3,Pitch3,Yaw3,Acc3x,Acc3y,Acc3z,Gyro3x,Gyro3y,Gyro3z,Q3w,Q3x,Q3y,Q3z
0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
26675712,15.0,-31.0,16.0,-2337.0,759.0,9499.0,86,56,-49,-972,-99,-143,151,-34.0,12.0,65.0,263.0,-1319.0,-6651.0,98,42,-48,175,-759,-623,59,-25.0,-3.0,27.0,-265.0,-2205.0,8483.0,34,37,-28,951,-118,51,-279
26684724,15.0,-31.0,16.0,-2338.0,762.0,9505.0,85,57,-49,-972,-99,-143,152,-34.0,12.0,65.0,270.0,-1322.0,-6663.0,97,43,-47,175,-758,-624,60,-25.0,-3.0,27.0,-278.0,-2209.0,8491.0,34,31,-29,951,-118,51,-279
26704724,15.0,-31.0,16.0,-2326.0,768.0,9532.0,85,58,-49,-972,-100,-143,152,-34.0,12.0,65.0,278.0,-1320.0,-6670.0,98,41,-47,175,-758,-624,60,-25.0,-3.0,27.0,-283.0,-2207.0,8490.0,33,28,-30,951,-118,51,-279
26713736,15.0,-31.0,16.0,-2327.0,776.0,9530.0,82,58,-50,-972,-100,-143,153,-34.0,12.0,65.0,286.0,-1327.0,-6668.0,99,35,-47,175,-758,-624,60,-25.0,-3.0,27.0,-274.0,-2214.0,8489.0,35,26,-29,951,-118,51,-279
26733736,15.0,-31.0,16.0,-2337.0,779.0,9535.0,81,61,-51,-972,-100,-143,153,-34.0,12.0,65.0,286.0,-1333.0,-6671.0,98,32,-47,175,-758,-624,60,-25.0,-3.0,27.0,-276.0,-2215.0,8503.0,35,28,-28,951,-118,51,-279
26745156,15.0,-31.0,17.0,-2346.0,781.0,9532.0,82,60,-51,-972,-100,-143,154,-34.0,12.0,65.0,276.0,-1341.0,-6688.0,100,34,-46,175,-758,-625,60,-25.0,-3.0,27.0,-273.0,-2217.0,8502.0,34,28,-30,951,-118,51,-279
26765164,15.0,-31.0,17.0,-2352.0,774.0,9519.0,85,57,-50,-972,-100,-143,154,-34.0,12.0,65.0,269.0,-1341.0,-6690.0,100,37,-48,174,-757,-625,60,-25.0,-3.0,27.0,-261.0,-2218.0,8498.0,32,29,-30,951,-118,51,-279
26774168,15.0,-31.0,17.0,-2355.0,771.0,9509.0,85,55,-50,-972,-100,-143,155,-34.0,12.0,65.0,264.0,-1342.0,-6670.0,97,39,-46,174,-757,-625,60,-25.0,-3.0,27.0,-260.0,-2223.0,8480.0,35,32,-28,951,-118,51,-279
26794176,15.0,-31.0,17.0,-2355.0,764.0,9515.0,83,59,-48,-972,-100,-143,155,-34.0,12.0,65.0,261.0,-1338.0,-6670.0,96,38,-47,174,-757,-626,60,-25.0,-3.0,27.0,-263.0,-2217.0,8485.0,32,30,-28,951,-118,51,-279
26805620,15.0,-31.0,17.0,-2351.0,764.0,9516.0,83,63,-48,-972,-100,-143,156,-34.0,12.0,65.0,266.0,-1330.0,-6679.0,99,37,-48,174,-757,-626,60,-25.0,-3.0,27.0,-274.0,-2212.0,8492.0,33,33,-27,951,-118,51,-279
26825632,15.0,-31.0,17.0,-2338.0,761.0,9520.0,83,58,-50,-971,-100,-143,156,-34.0,12.0,65.0,271.0,-1328.0,-6682.0,99,37,-48,174,-757,-626,60,-25.0,-3.0,27.0,-284.0,-2206.0,8493.0,34,32,-28,951,-118,51,-279
26834636,15.0,-31.0,17.0,-2330.0,761.0,9525.0,83,60,-50,-971,-100,-143,157,-34.0,12.0,65.0,281.0,-1327.0,-6676.0,100,38,-47,174,-756,-626,60,-25.0,-3.0,27.0,-295.0,-2203.0,8489.0,34,28,-28,951,-118,51,-279
26854672,15.0,-31.0,17.0,-2320.0,758.0,9525.0,81,58,-50,-971,-100,-143,157,-34.0,12.0,65.0,286.0,-1328.0,-6676.0,100,41,-48,174,-756,-627,60,-25.0,-3.0,27.0,-290.0,-2202.0,8486.0,35,31,-28,951,-118,51,-279
26863676,15.0,-31.0,17.0,-2320.0,761.0,9519.0,83,58,-48,-971,-100,-143,158,-34.0,12.0,65.0,285.0,-1326.0,-6680.0,96,37,-47,174,-756,-627,60,-25.0,-3.0,27.0,-284.0,-2202.0,8489.0,36,31,-28,951,-118,51,-279
26883680,15.0,-31.0,17.0,-2331.0,756.0,9515.0,84,57,-50,-971,-100,-143,158,-34.0,12.0,65.0,278.0,-1322.0,-6675.0,97,38,-47,174,-756,-627,60,-25.0,-3.0,27.0,-279.0,-2197.0,8498.0,33,29,-29,951,-118,51,-279
26895128,15.0,-31.0,17.0,-2337.0,759.0,9523.0,85,58,-50,-971,-100,-143,159,-34.0,12.0,65.0,272.0,-1325.0,-6679.0,99,36,-48,174,-755,-627,60,-25.0,-3.0,27.0,-279.0,-2203.0,8507.0,31,28,-30,951,-118,51,-279
26915144,15.0,-31.0,17.0,-2348.0,755.0,9521.0,86,55,-50,-971,-101,-143,159,-34.0,12.0,65.0,274.0,-1331.0,-6681.0,99,39,-48,174,-755,-628,61,-25.0,-3.0,27.0,-268.0,-2205.0,8493.0,33,32,-29,951,-118,51,-279
26924164,15.0,-31.0,17.0,-2345.0,758.0,9516.0,85,57,-49,-971,-101,-143,160,-34.0,12.0,65.0,272.0,-1340.0,-6675.0,99,40,-47,174,-755,-628,61,-25.0,-3.0,27.0,-270.0,-2214.0,8488.0,38,25,-29,951,-118,51,-279
26944172,15.0,-31.0,17.0,-2356.0,762.0,9512.0,81,58,-50,-971,-101,-142,160,-34.0,12.0,65.0,269.0,-1344.0,-6675.0,98,39,-47,174,-755,-628,61,-25.0,-3.0,27.0,-260.0,-2209.0,8491.0,36,27,-29,951,-118,51,-279
26955604,15.0,-31.0,17.0,-2362.0,758.0,9516.0,79,59,-52,-971,-101,-142,161,-34.0,12.0,65.0,257.0,-1339.0,-6685.0,92,34,-46,174,-755,-628,61,-25.0,-3.0,27.0,-253.0,-2207.0,8500.0,36,34,-29,951,-118,51,-279
26975628,15.0,-31.0,17.0,-2361.0,758.0,9531.0,78,60,-52,-971,-101,-142,161,-34.0,12.0,65.0,254.0,-1337.0,-6694.0,94,34,-46,174,-754,-629,61,-25.0,-3.0,27.0,-261.0,-2210.0,8500.0,35,32,-29,951,-118,51,-279
26984648,15.0,-31.0,17.0,-2355.0,760.0,9528.0,81,60,-50,-971,-101,-142,162,-34.0,12.0,65.0,253.0,-1327.0,-6680.0,98,36,-47,174,-754,-629,61,-25.0,-3.0,27.0,-265.0,-2206.0,8503.0,35,31,-28,951,-118,51,-279
27004672,15.0,-31.0,17.0,-2342.0,763.0,9505.0,84,59,-50,-971,-101,-142,162,-34.0,12.0,65.0,258.0,-1326.0,-6674.0,98,38,-47,174,-754,-629,61,-25.0,-3.0,27.0,-274.0,-2208.0,8479.0,35,33,-29,951,-118,51,-279
27013684,15.0,-31.0,17.0,-2331.0,764.0,9495.0,86,58,-49,-970,-101,-142,163,-34.0,12.0,65.0,268.0,-1317.0,-6666.0,100,42,-48,174,-754,-630,61,-25.0,-3.0,27.0,-286.0,-2210.0,8470.0,32,30,-30,951,-118,51,-279
27033700,15.0,-31.0,18.0,-2326.0,771.0,9503.0,87,56,-50,-970,-101,-142,163,-34.0,12.0,65.0,274.0,-1315.0,-6669.0,99,41,-47,174,-754,-630,61,-25.0,-3.0,27.0,-281.0,-2211.0,8469.0,35,28,-30,951,-118,51,-279
