Time, Roll1,Pitch1,Yaw1,Acc1x,Acc1y,Acc1z,Gyro1x,Gyro1y,Gyro1z,Q1w,Q1x,Q1y,Q1z, Roll2,Pitch2,Yaw2,Acc2x,Acc2y,Acc2z,Gyro2x,Gyro2y,Gyro2z,Q2w,Q2x,Q2y,Q2z, Roll3,Pitch3,Yaw3,Acc3x,Acc3y,Acc3z,Gyro3x,Gyro3y,Gyro3z,Q3w,Q3x,Q3y,Q3z
22565948,121.0,-1.0,-48.0,-130.0,7076.0,-2570.0,86,59,-49,-311,-463,767,-1,14.0,24.0,11.0,1698.0,972.0,-6569.0,98,39,-47,55,981,124,132,43.0,23.0,1.0,1788.0,3329.0,-6874.0,34,33,-29,213,967,40,127
22565948,121.0,-1.0,-48.0,-130.0,7076.0,-2570.0,86,59,-49,-311,-463,767,-1,14.0,24.0,11.0,1696.0,978.0,-6570.0,97,38,-47,55,981,124,132,43.0,23.0,1.0,1785.0,3324.0,-6868.0,33,32,-28,213,967,40,127
22565948,121.0,-1.0,-48.0,-130.0,7076.0,-2570.0,86,59,-49,-311,-463,767,-1,14.0,24.0,11.0,1688.0,974.0,-6572.0,99,38,-47,55,981,124,132,43.0,23.0,1.0,3323.0,-6858.0,33.0,31,-29,213,967,40,127,0
22565948,121.0,-1.0,-48.0,-130.0,7076.0,-2570.0,86,59,-49,-311,-463,767,-1,14.0,24.0,11.0,1686.0,974.0,-6564.0,98,38,-47,55,981,124,132,43.0,23.0,1.0,1801.0,3326.0,-6858.0,34,31,-29,213,967,40,127
22565948,121.0,-1.0,-48.0,-130.0,7076.0,-2570.0,86,59,-49,-311,-463,767,-1,14.0,24.0,11.0,1688.0,977.0,-6563.0,98,39,-47,55,981,124,132,43.0,23.0,1.0,1794.0,3323.0,-6861.0,34,32,-28,213,967,40,127
22565948,121.0,-1.0,-48.0,-130.0,7076.0,-2570.0,86,59,-49,-311,-463,767,-1,14.0,24.0,11.0,1686.0,977.0,-6567.0,98,39,-47,55,981,124,132,43.0,23.0,1.0,1794.0,3325.0,-6858.0,34,31,-29,213,967,40,127
22565948,121.0,-1.0,-48.0,-130.0,7076.0,-2570.0,86,59,-49,-311,-463,767,-1,14.0,24.0,11.0,1683.0,974.0,-6559.0,98,40,-47,55,981,124,132,43.0,23.0,1.0,1792.0,3326.0,-6865.0,34,32,-28,213,967,40,127
22565948,121.0,-1.0,-48.0,-130.0,7076.0,-2570.0,86,59,-49,-311,-463,767,-1,14.0,24.0,11.0,1686.0,974.0,-6565.0,99,39,-47,55,981,124,132,43.0,23.0,1.0,1789.0,3328.0,-6865.0,34,30,-29,213,967,40,127
22565948,121.0,-1.0,-48.0,-130.0,7076.0,-2570.0,86,59,-49,-311,-463,767,-1,14.0,24.0,11.0,1688.0,973.0,-6573.0,98,38,-48,55,981,124,132,43.0,23.0,1.0,1785.0,3327.0,-6870.0,32,30,-28,213,967,40,127
22565948,121.0,-1.0,-48.0,-130.0,7076.0,-2570.0,86,59,-49,-311,-463,767,-1,14.0,24.0,11.0,1692.0,973.0,-6567.0,98,37,-47,55,981,124,132,43.0,23.0,1.0,1786.0,3331.0,-6872.0,33,30,-28,213,967,40,127
