Time, Roll1,Pitch1,Yaw1,Acc1x,Acc1y,Acc1z,Gyro1x,Gyro1y,Gyro1z,Q1w,Q1x,Q1y,Q1z, Roll2,Pitch2,Yaw2,Acc2x,Acc2y,Acc2z,Gyro2x,Gyro2y,Gyro2z,Q2w,Q2x,Q2y,Q2z, Roll3,Pitch3,Yaw3,Acc3x,Acc3y,Acc3z,Gyro3x,Gyro3y,Gyro3z,Q3w,Q3x,Q3y,Q3z
681850060,-3.0,-10.0,147.0,-1033.0,-360.0,9832.0,89,57,-50,-44,-50,-20,997,22.0,41.0,66.0,-19713.0,6399.0,-3841.0,-3072,-28160,0,0,252,11514,-286,13568.0,7936.0,9215.0,8192.0,22016.0,0.0,0,0,64,24384,10404,-22956,-3
681879124,-3.0,-10.0,147.0,-1026.0,-361.0,9843.0,87,53,-49,-44,-50,-20,997,22.0,41.0,66.0,2773.0,1555.0,-6197.0,97,39,-47,33,-772,-590,-232,-16.0,-12.0,146.0,-978.0,-1281.0,-7628.0,36,29,-29,-58,-62,-992,86
681890576,-3.0,-10.0,147.0,-1026.0,-356.0,9857.0,85,57,-50,-44,-50,-20,997,22.0,41.0,66.0,2773.0,1555.0,-6197.0,97,39,-47,33,-772,-590,-232,-16.0,-12.0,146.0,-981.0,-1291.0,-7624.0,31,30,-28,-58,-62,-992,86
682029236,-3.0,-10.0,147.0,-1022.0,-357.0,9839.0,82,55,-50,-44,-50,-20,997,22.0,41.0,66.0,2773.0,1555.0,-6197.0,97,39,-47,33,-772,-590,-232,-16.0,-12.0,146.0,-984.0,-1279.0,-7626.0,35,30,-28,-58,-62,-992,86
682040672,-3.0,-10.0,147.0,-1020.0,-355.0,9851.0,85,58,-48,-44,-50,-20,997,22.0,41.0,66.0,2773.0,1555.0,-6197.0,97,39,-47,33,-772,-590,-232,-16.0,-12.0,146.0,-988.0,-1275.0,-7617.0,32,33,-29,-58,-62,-992,86
682060724,-3.0,-10.0,147.0,-1024.0,-355.0,9850.0,87,65,-48,-44,-50,-19,997,22.0,41.0,66.0,2773.0,1555.0,-6197.0,97,39,-47,33,-772,-590,-232,-16.0,-12.0,146.0,-994.0,-1272.0,-7626.0,30,38,-28,-58,-62,-992,86
682069736,-3.0,-10.0,147.0,-1029.0,-351.0,9844.0,85,62,-49,-44,-50,-19,997,22.0,41.0,66.0,2773.0,1555.0,-6197.0,97,39,-47,33,-772,-590,-232,-16.0,-12.0,146.0,-983.0,-1272.0,-7645.0,35,30,-27,-57,-62,-992,86
682089784,-3.0,-10.0,147.0,-1028.0,-352.0,9851.0,82,52,-50,-44,-50,-19,997,22.0,41.0,66.0,2773.0,1555.0,-6197.0,97,39,-47,33,-772,-590,-232,-16.0,-12.0,146.0,-978.0,-1274.0,-7644.0,35,25,-27,-58,-62,-992,86
682098800,-3.0,-10.0,147.0,-1016.0,-352.0,9862.0,82,52,-50,-44,-50,-19,997,22.0,41.0,66.0,2773.0,1555.0,-6197.0,97,39,-47,33,-772,-590,-232,-16.0,-12.0,146.0,-979.0,-1285.0,-7634.0,33,31,-28,-58,-62,-992,86
682118824,-3.0,-10.0,147.0,-1004.0,-354.0,9863.0,85,63,-49,-44,-50,-19,997,22.0,41.0,66.0,2773.0,1555.0,-6197.0,97,39,-47,33,-772,-590,-232,-16.0,-12.0,146.0,-978.0,-1287.0,-7630.0,33,33,-27,-58,-62,-992,86
682130264,-3.0,-10.0,147.0,-1008.0,-353.0,9863.0,86,70,-49,-44,-50,-19,997,22.0,41.0,66.0,2773.0,1555.0,-6197.0,97,39,-47,33,-772,-590,-232,-16.0,-12.0,146.0,-990.0,-1286.0,-7636.0,31,31,-28,-58,-62,-992,86
682150308,-3.0,-10.0,147.0,-1025.0,-349.0,9855.0,85,68,-48,-44,-50,-19,997,22.0,41.0,66.0,2773.0,1555.0,-6197.0,97,39,-47,33,-772,-590,-232,-16.0,-12.0,146.0,-996.0,-1282.0,-7641.0,34,32,-28,-58,-62,-992,86
682159336,-3.0,-10.0,147.0,-1033.0,-345.0,9837.0,83,61,-49,-44,-50,-19,997,22.0,41.0,66.0,2773.0,1555.0,-6197.0,97,39,-47,33,-772,-590,-232,-16.0,-12.0,146.0,-994.0,-1283.0,-7628.0,34,34,-28,-58,-62,-992,86
682179384,-3.0,-10.0,147.0,-1037.0,-352.0,9823.0,77,48,-52,-44,-50,-19,997,22.0,41.0,66.0,2773.0,1555.0,-6197.0,97,39,-47,33,-772,-590,-232,-16.0,-12.0,146.0,-990.0,-1286.0,-7631.0,32,34,-28,-58,-62,-992,86
682190824,-3.0,-10.0,147.0,-1030.0,-359.0,9831.0,78,48,-49,-44,-50,-19,997,22.0,41.0,66.0,2773.0,1555.0,-6197.0,97,39,-47,33,-772,-590,-232,-16.0,-12.0,146.0,-991.0,-1281.0,-7639.0,30,35,-28,-58,-62,-992,86
682210868,-3.0,-10.0,147.0,-1019.0,-363.0,9882.0,89,65,-47,-44,-50,-19,997,22.0,41.0,66.0,2773.0,1555.0,-6197.0,97,39,-47,33,-772,-590,-232,-16.0,-12.0,146.0,-992.0,-1279.0,-7651.0,36,31,-29,-58,-62,-992,86
682219900,-3.0,-10.0,147.0,-1023.0,-361.0,9890.0,96,68,-46,-44,-50,-19,997,22.0,41.0,66.0,2773.0,1555.0,-6197.0,97,39,-47,33,-772,-590,-232,-16.0,-12.0,146.0,-984.0,-1288.0,-7635.0,35,28,-28,-58,-62,-992,86
682239944,-3.0,-10.0,147.0,-1033.0,-345.0,9873.0,98,65,-46,-44,-50,-19,997,22.0,41.0,66.0,2773.0,1555.0,-6197.0,97,39,-47,33,-772,-590,-232,-16.0,-12.0,146.0,-983.0,-1291.0,-7628.0,31,30,-27,-58,-62,-992,86
682248964,-3.0,-10.0,147.0,-1033.0,-335.0,9852.0,91,58,-47,-44,-50,-19,997,22.0,41.0,66.0,2773.0,1555.0,-6197.0,97,39,-47,33,-772,-590,-232,-16.0,-12.0,146.0,-982.0,-1286.0,-7638.0,29,34,-27,-58,-62,-992,86
682269016,-3.0,-10.0,147.0,-1029.0,-326.0,9839.0,82,53,-48,-44,-50,-19,997,22.0,41.0,66.0,2773.0,1555.0,-6197.0,97,39,-47,33,-772,-590,-232,-16.0,-12.0,146.0,-981.0,-1285.0,-7642.0,32,32,-27,-58,-62,-992,86
682280468,-3.0,-10.0,147.0,-1022.0,-327.0,9832.0,79,53,-49,-44,-50,-19,997,22.0,41.0,66.0,2773.0,1555.0,-6197.0,97,39,-47,33,-772,-590,-232,-16.0,-12.0,146.0,-977.0,-1281.0,-7638.0,34,30,-28,-58,-62,-992,86
682300508,-3.0,-10.0,147.0,-1013.0,-349.0,9834.0,80,57,-48,-44,-50,-19,997,22.0,41.0,66.0,2773.0,1555.0,-6197.0,97,39,-47,33,-772,-590,-232,-16.0,-12.0,146.0,-975.0,-1279.0,-7624.0,36,33,-29,-58,-62,-992,86
682309528,-3.0,-10.0,147.0,-1011.0,-352.0,9848.0,85,57,-49,-44,-50,-19,997,22.0,41.0,66.0,2773.0,1555.0,-6197.0,97,39,-47,33,-772,-590,-232,-16.0,-12.0,146.0,-975.0,-1278.0,-7620.0,31,37,-27,-57,-62,-992,86
682329568,-3.0,-10.0,147.0,-1020.0,-356.0,9883.0,93,66,-50,-44,-50,-19,997,22.0,41.0,66.0,2773.0,1555.0,-6197.0,97,39,-47,33,-772,-590,-232,-16.0,-12.0,146.0,-979.0,-1277.0,-7627.0,31,35,-28,-57,-62,-992,86
682349620,-3.0,-10.0,147.0,-1030.0,-335.0,9886.0,79,67,-49,-44,-50,-19,997,22.0,41.0,66.0,2773.0,1555.0,-6197.0,97,39,-47,33,-772,-590,-232,-16.0,-12.0,146.0,-979.0,-1289.0,-7637.0,35,27,-27,-57,-62,-992,86
682358632,-3.0,-10.0,147.0,-1029.0,-329.0,9865.0,72,61,-50,-44,-50,-19,997,22.0,41.0,66.0,2773.0,1555.0,-6197.0,97,39,-47,33,-772,-590,-232,-16.0,-12.0,146.0,-979.0,-1294.0,-7643.0,32,25,-27,-58,-62,-992,86
682370080,-3.0,-10.0,147.0,-1032.0,-334.0,9836.0,68,55,-50,-44,-50,-19,997,22.0,41.0,66.0,2773.0,1555.0,-6197.0,97,39,-47,33,-772,-590,-232,-16.0,-12.0,146.0,-988.0,-1287.0,-7640.0,31,32,-28,-58,-62,-992,86
682390116,-3.0,-10.0,147.0,-1028.0,-354.0,9823.0,83,48,-49,-44,-50,-19,997,22.0,41.0,66.0,2773.0,1555.0,-6197.0,97,39,-47,33,-772,-590,-232,-16.0,-12.0,146.0,-987.0,-1281.0,-7628.0,35,33,-29,-58,-62,-992,86
682399148,-3.0,-10.0,147.0,-1026.0,-358.0,9843.0,92,51,-47,-44,-50,-19,997,22.0,41.0,66.0,2773.0,1555.0,-6197.0,97,39,-47,33,-772,-590,-232,-16.0,-12.0,146.0,-985.0,-1287.0,-7626.0,33,33,-28,-58,-62,-992,86
682419200,-3.0,-10.0,147.0,-1022.0,-345.0,9894.0,96,64,-46,-44,-50,-19,997,22.0,41.0,66.0,2773.0,1555.0,-6197.0,97,39,-47,33,-772,-590,-232,-16.0,-12.0,146.0,-986.0,-1287.0,-7619.0,32,36,-30,-58,-62,-992,86
682430648,-3.0,-10.0,147.0,-1023.0,-335.0,9899.0,89,70,-48,-44,-50,-19,997,22.0,41.0,66.0,2773.0,1555.0,-6197.0,97,39,-47,33,-772,-590,-232,-16.0,-12.0,146.0,-989.0,-1282.0,-7634.0,29,37,-28,-57,-62,-992,86
682450704,-3.0,-10.0,147.0,-1028.0,-328.0,9872.0,73,67,-50,-44,-50,-19,997,22.0,41.0,66.0,2773.0,1555.0,-6197.0,97,39,-47,33,-772,-590,-232,-16.0,-12.0,146.0,-987.0,-1281.0,-7651.0,30,30,-28,-57,-62,-992,86
682459724,-3.0,-10.0,147.0,-1031.0,-339.0,9850.0,74,62,-49,-44,-50,-19,997,22.0,41.0,66.0,2773.0,1555.0,-6197.0,97,39,-47,33,-772,-590,-232,-16.0,-12.0,146.0,-985.0,-1276.0,-7661.0,36,21,-28,-58,-62,-992,86
682479788,-3.0,-10.0,147.0,-1026.0,-350.0,9834.0,84,51,-49,-44,-50,-19,997,22.0,41.0,66.0,2773.0,1555.0,-6197.0,97,39,-47,33,-772,-590,-232,-16.0,-12.0,146.0,-988.0,-1279.0,-7644.0,39,25,-28,-58,-62,-992,86
682488804,-3.0,-10.0,147.0,-1020.0,-353.0,9832.0,91,49,-48,-44,-50,-19,997,22.0,41.0,66.0,2773.0,1555.0,-6197.0,97,39,-47,33,-772,-590,-232,-16.0,-12.0,146.0,-987.0,-1282.0,-7616.0,33,38,-28,-58,-62,-992,86
