Time, Roll1,Pitch1,Yaw1,Acc1x,Acc1y,Acc1z,Gyro1x,Gyro1y,Gyro1z,Q1w,Q1x,Q1y,Q1z, Roll2,Pitch2,Yaw2,Acc2x,Acc2y,Acc2z,Gyro2x,Gyro2y,Gyro2z,Q2w,Q2x,Q2y,Q2z, Roll3,Pitch3,Yaw3,Acc3x,Acc3y,Acc3z,Gyro3x,Gyro3y,Gyro3z,Q3w,Q3x,Q3y,Q3z
99311084,-4.0,-13.0,40.0,-1363.0,-455.0,9823.0,83,59,-50,918,5,71,-388,7.0,-82.0,-94.0,-6654.0,647.0,6143.0,97,38,-48,-269,370,-155,-875,19.0,123.0,87.0,8087.0,1681.0,2295.0,35,32,-30,530,-359,-486,-593
99331096,-4.0,-13.0,40.0,-1363.0,-446.0,9827.0,82,59,-50,918,5,71,-388,7.0,-82.0,-94.0,-6658.0,648.0,6144.0,96,38,-48,-269,370,-155,-875,19.0,123.0,87.0,8091.0,1680.0,2291.0,34,31,-29,530,-359,-486,-593
0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
99589776,-4.0,-13.0,40.0,-1357.0,-447.0,9836.0,83,60,-51,918,5,71,-388,7.0,-82.0,-94.0,-6658.0,646.0,6146.0,96,38,-48,-269,370,-155,-874,19.0,123.0,87.0,8094.0,1674.0,2297.0,34,33,-28,530,-359,-486,-593
99609780,-4.0,-13.0,40.0,-1353.0,-447.0,9830.0,83,61,-50,918,5,71,-388,7.0,-82.0,-94.0,-6651.0,648.0,6149.0,97,38,-48,-269,370,-155,-874,19.0,123.0,87.0,8091.0,1676.0,2302.0,33,32,-29,530,-359,-486,-593
99621200,-4.0,-13.0,40.0,-1354.0,-445.0,9830.0,83,60,-51,918,5,71,-388,7.0,-82.0,-94.0,-6654.0,645.0,6153.0,96,39,-48,-269,370,-155,-874,19.0,123.0,87.0,8092.0,1672.0,2300.0,34,32,-28,530,-359,-486,-593
99641196,-4.0,-13.0,40.0,-1357.0,-451.0,9827.0,82,60,-50,918,5,71,-388,7.0,-82.0,-94.0,-6659.0,644.0,6145.0,97,38,-47,-269,370,-155,-874,19.0,123.0,87.0,8091.0,1671.0,2302.0,33,31,-28,530,-359,-486,-593
99650196,-4.0,-13.0,40.0,-1359.0,-451.0,9828.0,83,59,-49,918,5,71,-388,7.0,-82.0,-94.0,-6659.0,647.0,6142.0,96,38,-48,-269,370,-155,-874,19.0,123.0,87.0,8091.0,1668.0,2301.0,33,31,-29,530,-359,-486,-593
99670208,-4.0,-13.0,40.0,-1356.0,-451.0,9832.0,83,60,-50,918,5,71,-388,7.0,-82.0,-94.0,-6654.0,647.0,6145.0,97,39,-49,-269,370,-155,-874,19.0,123.0,87.0,8094.0,1672.0,2301.0,34,32,-28,530,-359,-486,-593
99679216,-4.0,-13.0,40.0,-1354.0,-452.0,9834.0,83,58,-49,918,5,71,-388,7.0,-82.0,-94.0,-6650.0,645.0,6146.0,97,38,-48,-269,370,-155,-874,19.0,123.0,87.0,8093.0,1675.0,2300.0,34,32,-30,530,-359,-486,-593
99699236,-4.0,-13.0,40.0,-1348.0,-456.0,9828.0,83,58,-51,918,5,71,-388,7.0,-82.0,-94.0,-6652.0,645.0,6152.0,96,38,-48,-269,370,-155,-874,19.0,123.0,87.0,8088.0,1678.0,2301.0,34,32,-28,530,-359,-486,-593
99710668,-4.0,-13.0,40.0,-1349.0,-458.0,9827.0,82,59,-50,918,5,71,-388,7.0,-82.0,-94.0,-6652.0,644.0,6159.0,96,38,-47,-269,370,-155,-874,19.0,123.0,87.0,8088.0,1680.0,2299.0,34,32,-28,530,-359,-486,-593
99730688,-4.0,-13.0,40.0,-1350.0,-459.0,9828.0,83,58,-50,918,5,71,-388,7.0,-82.0,-94.0,-6649.0,639.0,6154.0,97,38,-48,-269,370,-155,-874,19.0,123.0,87.0,8089.0,1676.0,2299.0,34,31,-29,530,-359,-486,-593
99739692,-4.0,-13.0,40.0,-1355.0,-460.0,9826.0,84,60,-49,918,5,71,-388,7.0,-82.0,-94.0,-6651.0,646.0,6158.0,97,38,-48,-269,370,-154,-874,19.0,123.0,87.0,8090.0,1678.0,2297.0,34,31,-28,530,-359,-486,-593
99759692,-4.0,-13.0,40.0,-1360.0,-455.0,9825.0,83,59,-49,918,5,71,-388,7.0,-82.0,-94.0,-6649.0,648.0,6150.0,97,38,-48,-269,370,-155,-874,19.0,123.0,87.0,8086.0,1672.0,2294.0,34,33,-29,530,-359,-486,-593
99771132,-4.0,-13.0,40.0,-1352.0,-453.0,9822.0,82,61,-50,918,5,71,-388,7.0,-82.0,-94.0,-6649.0,647.0,6145.0,97,37,-48,-269,370,-155,-874,19.0,123.0,87.0,8086.0,1671.0,2295.0,34,30,-29,530,-359,-486,-593
99791148,-4.0,-13.0,40.0,-1354.0,-453.0,9823.0,84,58,-50,918,5,71,-388,7.0,-82.0,-94.0,-6651.0,643.0,6146.0,96,37,-48,-269,370,-155,-874,19.0,123.0,87.0,8091.0,1668.0,2303.0,33,33,-29,530,-359,-486,-593
99800156,-4.0,-13.0,40.0,-1355.0,-453.0,9823.0,82,59,-50,918,5,71,-388,7.0,-82.0,-94.0,-6658.0,639.0,6148.0,97,39,-48,-269,370,-155,-874,19.0,123.0,87.0,8091.0,1670.0,2303.0,34,33,-27,530,-359,-486,-593
99820140,-4.0,-13.0,40.0,-1352.0,-452.0,9818.0,82,60,-50,918,5,71,-388,7.0,-82.0,-94.0,-6660.0,648.0,6150.0,97,38,-48,-269,370,-155,-874,19.0,123.0,87.0,8093.0,1671.0,2294.0,33,31,-28,530,-359,-486,-593
99829160,-4.0,-13.0,40.0,-1353.0,-451.0,9811.0,82,59,-50,918,5,71,-388,7.0,-82.0,-94.0,-6656.0,647.0,6148.0,97,38,-47,-269,370,-155,-874,19.0,123.0,87.0,8094.0,1671.0,2297.0,34,32,-28,530,-360,-486,-593
99849180,-4.0,-13.0,40.0,-1352.0,-454.0,9813.0,84,59,-50,918,5,71,-388,7.0,-82.0,-94.0,-6645.0,644.0,6145.0,96,38,-48,-269,370,-155,-874,19.0,123.0,87.0,8098.0,1672.0,2303.0,34,32,-29,530,-359,-486,-593
99860596,-4.0,-13.0,40.0,-1355.0,-456.0,9816.0,83,59,-51,918,5,71,-388,7.0,-82.0,-94.0,-6649.0,643.0,6143.0,97,38,-47,-269,370,-155,-874,19.0,123.0,87.0,8099.0,1670.0,2303.0,34,32,-28,530,-359,-486,-593
99880608,-4.0,-13.0,40.0,-1354.0,-456.0,9820.0,82,59,-49,918,5,71,-388,7.0,-82.0,-94.0,-6653.0,648.0,6143.0,97,38,-48,-269,370,-155,-874,19.0,123.0,87.0,8095.0,1667.0,2299.0,34,31,-28,530,-360,-486,-593
99889624,-4.0,-13.0,40.0,-1353.0,-459.0,9823.0,82,59,-49,918,5,71,-388,7.0,-82.0,-94.0,-6649.0,647.0,6148.0,96,37,-48,-269,370,-155,-874,19.0,123.0,87.0,8095.0,1668.0,2296.0,34,31,-28,530,-360,-486,-593
99909656,-4.0,-13.0,40.0,-1358.0,-457.0,9820.0,83,60,-50,918,5,71,-388,7.0,-82.0,-94.0,-6647.0,646.0,6143.0,97,38,-48,-269,370,-155,-874,19.0,123.0,87.0,8096.0,1676.0,2298.0,34,31,-27,530,-360,-486,-593
99921088,-4.0,-13.0,40.0,-1358.0,-456.0,9823.0,83,59,-50,918,5,71,-388,7.0,-82.0,-94.0,-6645.0,648.0,6145.0,97,39,-48,-269,370,-155,-874,19.0,123.0,87.0,8100.0,1675.0,2296.0,33,33,-28,530,-360,-486,-593
99941100,-4.0,-13.0,40.0,-1354.0,-459.0,9831.0,81,59,-51,918,5,71,-388,7.0,-82.0,-94.0,-6647.0,652.0,6147.0,97,38,-48,-269,370,-155,-874,19.0,123.0,87.0,8091.0,1671.0,2293.0,34,32,-30,530,-360,-486,-593
99950116,-4.0,-13.0,40.0,-1357.0,-456.0,9828.0,82,60,-49,918,5,71,-388,7.0,-82.0,-94.0,-6647.0,649.0,6145.0,97,39,-48,-269,370,-155,-874,19.0,123.0,87.0,8090.0,1668.0,2293.0,33,32,-29,530,-360,-486,-593
