Time, Roll1,Pitch1,Yaw1,Acc1x,Acc1y,Acc1z,Gyro1x,Gyro1y,Gyro1z,Q1w,Q1x,Q1y,Q1z, Roll2,Pitch2,Yaw2,Acc2x,Acc2y,Acc2z,Gyro2x,Gyro2y,Gyro2z,Q2w,Q2x,Q2y,Q2z, Roll3,Pitch3,Yaw3,Acc3x,Acc3y,Acc3z,Gyro3x,Gyro3y,Gyro3z,Q3w,Q3x,Q3y,Q3z
-1961018856,-42.0,59.0,-52.0,5453.0,-4788.0,5909.0,143,43,-28,793,-31,-374,479,34.0,91.0,9.0,7437.0,2061.0,4545.0,82,126,30,-854,-114,484,145,61.0,-56.0,-82.0,-4313.0,4660.0,-4508.0,70,-70,3,297,0,899,318
-1961009860,-42.0,59.0,-52.0,5449.0,-4759.0,5912.0,149,60,-26,793,-30,-26376,-1,-1.0,-192.0,24384.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
-1960760856,-46.0,56.0,-52.0,5628.0,-5609.0,5927.0,-351,293,170,790,-54,-373,482,28.0,95.0,8.0,8426.0,1699.0,5134.0,-105,-193,342,-858,-95,487,125,71.0,-52.0,-81.0,-3370.0,8392.0,-2391.0,-164,-1537,-455,288,18,884,365
-1960740896,-47.0,56.0,-51.0,5470.0,-5599.0,5806.0,-414,307,198,789,-61,-374,482,28.0,95.0,8.0,8436.0,1697.0,5190.0,-118,-214,343,-858,-93,488,124,71.0,-56.0,-78.0,-4880.0,9190.0,-1443.0,299,-1913,-1242,312,17,876,365
-1960729496,-48.0,55.0,-51.0,5389.0,-5612.0,5784.0,-440,317,213,789,-64,-374,482,27.0,96.0,8.0,8521.0,1712.0,5183.0,-133,-158,417,-858,-88,490,121,69.0,-59.0,-77.0,-5510.0,9449.0,-1141.0,572,-1843,-1620,325,15,873,362
-1960709532,-49.0,54.0,-51.0,5221.0,-5714.0,5696.0,-458,381,240,788,-72,-374,482,26.0,96.0,8.0,8571.0,1752.0,5081.0,-136,-184,458,-858,-86,491,119,66.0,-65.0,-75.0,-6411.0,9923.0,-1053.0,1021,-2108,-2428,353,6,866,351
-1960700532,-50.0,54.0,-51.0,5108.0,-5803.0,5605.0,-460,437,255,788,-76,-374,482,25.0,97.0,7.0,8621.0,1783.0,4760.0,-102,-270,475,-857,-81,494,115,63.0,-69.0,-74.0,-6810.0,10237.0,-1120.0,1198,-2379,-2840,370,1,863,342
-1960689100,-51.0,53.0,-50.0,4963.0,-5897.0,5495.0,-471,494,257,787,-80,-374,482,25.0,98.0,7.0,8651.0,1735.0,4604.0,-61,-305,473,-856,-79,496,113,57.0,-78.0,-70.0,-7532.0,10599.0,-1338.0,1376,-2833,-3420,408,-11,854,322
-1960669124,-52.0,52.0,-50.0,4587.0,-6004.0,5319.0,-533,583,232,787,-90,-373,481,24.0,99.0,7.0,8654.0,1573.0,4194.0,29,-456,461,-855,-76,501,108,53.0,-82.0,-68.0,-7796.0,10380.0,-1492.0,1366,-2843,-3506,427,-18,848,310
-1960649160,-54.0,50.0,-49.0,4237.0,-5883.0,5348.0,-595,634,196,787,-100,-371,481,23.0,100.0,7.0,8556.0,1488.0,3982.0,83,-538,417,-853,-74,504,106,46.0,-92.0,-64.0,-7888.0,9328.0,-1708.0,1240,-2447,-3443,463,-34,837,286
-1960640180,-54.0,50.0,-49.0,4108.0,-5790.0,5424.0,-623,655,183,788,-105,-370,480,22.0,102.0,6.0,8103.0,1198.0,3785.0,135,-491,389,-850,-72,510,102,42.0,-96.0,-62.0,-7653.0,8709.0,-1774.0,1174,-2315,-3352,479,-42,832,274
-1960628776,-55.0,49.0,-48.0,4039.0,-5723.0,5508.0,-616,659,173,788,-110,-369,479,22.0,102.0,6.0,7911.0,977.0,3738.0,120,-384,438,-849,-70,512,99,36.0,-104.0,-58.0,-6853.0,7233.0,-1667.0,1017,-2683,-3180,511,-56,819,251
-1960608800,-57.0,48.0,-48.0,4037.0,-5754.0,5576.0,-557,656,150,789,-120,-366,477,21.0,104.0,6.0,7757.0,635.0,3691.0,41,-292,469,-848,-67,516,94,33.0,-109.0,-56.0,-6612.0,6208.0,-1480.0,856,-3089,-3156,528,-63,811,241
-1960588848,-58.0,46.0,-47.0,4107.0,-5897.0,5590.0,-561,677,99,789,-130,-364,475,20.0,104.0,6.0,7794.0,517.0,3663.0,27,-324,419,-847,-65,517,92,26.0,-119.0,-51.0,-6813.0,3799.0,-1162.0,334,-3587,-3102,567,-78,789,220
-1960579852,-59.0,46.0,-46.0,4171.0,-5901.0,5627.0,-595,673,72,790,-134,-363,474,19.0,106.0,5.0,7953.0,237.0,3665.0,1,-535,304,-845,-61,522,88,22.0,-124.0,-50.0,-7093.0,2784.0,-1215.0,14,-3506,-2999,586,-87,776,212
-1960559880,-60.0,45.0,-46.0,4323.0,-5833.0,5752.0,-650,627,34,791,-143,-361,471,19.0,106.0,5.0,8073.0,81.0,3662.0,-41,-670,259,-844,-59,525,86,17.0,-133.0,-47.0,-7464.0,1613.0,-1824.0,-449,-2770,-2534,617,-105,753,199
